# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
zao 	早	c=7 d=0.000493001 t=96130
zao 	澡	c=1 d=1 t=28893
zao can 	早餐	c=3 d=0.000238511 t=96130
zao cheng 	造成	c=2 d=1 t=77445
zao dian 	早點	c=1 d=1 t=25243
zao fan 	早飯	c=1 d=1 t=58985
zao gao 	糟糕	c=1 d=1 t=81633
zao jiu 	早就	c=0 d=1.42173e-23 t=96130
zao jiu pi 	早就批	c=1 d=1.42885e-22 t=96130
zao qi 	早起	c=3 d=1.99005 t=44853
zao shang 	早上	c=33 d=0.118245 t=96130
zao sheng 	噪聲	c=4 d=9.01837e-10 t=96130
zao shui 	早睡	c=1 d=1 t=44852
zao ting 	早停	c=5 d=3.49318e-11 t=96130
zao tou 	糟透	c=1 d=1 t=41476
zao yin 	噪音	c=4 d=6.5602e-12 t=96130
zao zui 	遭罪	c=1 d=1 t=35550
ze 	則	c=26 d=9.37417e-14 t=96130
ze bei 	責備	c=1 d=1 t=26273
ze he 	澤合	c=1 d=2.10788e-08 t=96130
ze ren 	責任	c=9 d=1 t=82746
zen me 	怎麼	c=91 d=0.568095 t=96130
zen me ban 	怎麼辦	c=21 d=0.0281326 t=96130
zen me fa 	怎么发	c=1 d=1 t=89174
zen me gai 	怎麼改	c=1 d=1 t=19491
zen me hui shi 	怎麼回事	c=1 d=1 t=44781
zen me kan 	怎麼看	c=1 d=1 t=22854
zen me li jie 	怎麼理解	c=1 d=1 t=35934
zen me shuo 	怎麼說	c=1 d=1 t=31129
zen me suan 	怎麼算	c=2 d=1 t=88367
zen me tong guo 	怎麼通過	c=1 d=1 t=87753
zen me wan 	怎麼玩	c=1 d=1 t=39064
zen me xie 	怎麼寫	c=5 d=1.36435e-08 t=96130
zen me yang 	怎麼樣	c=35 d=9.40133e-10 t=96130
zen me yong 	怎麼用	c=9 d=1.02371e-11 t=96130
zen me zuo 	怎麼做	c=3 d=1.00033 t=64136
zen neng shuo 	怎能說	c=1 d=1 t=37166
zen yang 	怎樣	c=12 d=2.51079e-10 t=96130
zeng da 	增大	c=2 d=1 t=83780
zeng jia 	增加	c=39 d=4.96482e-10 t=96130
zeng qiang 	增強	c=10 d=1.59391e-05 t=96130
zha lie 	炸裂	c=1 d=1 t=48629
zha shi 	扎实	c=1 d=1 t=45956
zha yan 	眨眼	c=2 d=1.99501 t=89978
zha yang 	渣樣	c=1 d=0.181772 t=96130
zhai 	摘	c=1 d=1 t=35397
zhai xia lai 	摘下來	c=1 d=1.42148e-20 t=96130
zhai yao 	摘要	c=12 d=1.00079 t=94544
zhan 	佔	c=7 d=4.05957e-07 t=96130
zhan 	棧	c=44 d=0.0200377 t=96130
zhan 	站	c=33 d=0.000905406 t=96130
zhan bi 	佔比	c=4 d=5.22327e-13 t=96130
zhan chu 	展出	c=1 d=1 t=38475
zhan di 	棧底	c=1 d=0.0483156 t=96130
zhan dian 	站點	c=1 d=1 t=56644
zhan ding 	棧頂	c=4 d=0.0480747 t=96130
zhan hui 	展會	c=1 d=1 t=91426
zhan ju 	佔據	c=2 d=1 t=79328
zhan kai 	展開	c=7 d=1.64404 t=82642
zhan kong 	棧空	c=1 d=1 t=86019
zhan lu 	展露	c=1 d=0.000166586 t=96130
zhan lu tai 	瞻魯台	c=1 d=1 t=36819
zhan lve 	戰略	c=4 d=1.88692 t=79615
zhan man 	棧滿	c=1 d=1 t=86021
zhan pin 	展品	c=1 d=1 t=75791
zhan shen 	戰神	c=1 d=1 t=59347
zhan shi 	展示	c=9 d=8.98918e-12 t=96130
zhan tie 	粘貼	c=2 d=1 t=77057
zhan wang 	展望	c=3 d=1 t=91620
zhan xian 	展現	c=2 d=1 t=78549
zhan xian le 	展現了	c=1 d=1 t=74760
zhan yong 	佔用	c=1 d=1 t=81986
zhan you lv 	佔有率	c=1 d=1 t=68558
zhang 	帳	c=1 d=1 t=45531
zhang 	張	c=62 d=0.277145 t=96130
zhang 	漲	c=1 d=1 t=53238
zhang 	章	c=3 d=2.83785 t=46319
zhang 	長	c=10 d=0.205975 t=96130
zhang ai 	障礙	c=2 d=1.97045 t=20643
zhang de 	長得	c=1 d=1 t=44944
zhang fei zi 	长痱子	c=1 d=0.0216013 t=96130
zhang hao 	帳號	c=17 d=1.99005 t=91924
zhang hu 	賬戶	c=15 d=2.07078e-05 t=96130
zhang hu mi ma 	賬戶密碼	c=1 d=0.000907334 t=96130
zhang jie 	章節	c=2 d=1 t=75817
zhang lao shi 	張老師	c=1 d=1 t=45255
zhang liang 	張量	c=61 d=1.35975 t=96130
zhang liang ma 	張量嗎	c=1 d=1 t=70429
zhang lie 	長列	c=1 d=1 t=54062
zhang qian 	张潜	c=0 d=4.02935e-14 t=96130
zhang rui 	張瑞	c=5 d=1.91851 t=91022
zhang sha yang 	长啥样	c=4 d=1.63371e-10 t=96130
zhang sheng 	掌聲	c=3 d=2.42774e-16 t=96130
zhang tu 	张图	c=2 d=1 t=45348
zhang wo 	掌握	c=3 d=0.00241755 t=96130
zhang wo bu zhu 	掌握不住	c=1 d=1 t=86384
zhang xu 	张旭	c=0 d=6.08411e-09 t=96130
zhang xu hua 	张旭華	c=1 d=6.11461e-08 t=96130
zhang yu 	张宇	c=0 d=0.1 t=45466
zhang yu fan 	张宇帆	c=1 d=1 t=45467
zhao 	找	c=46 d=0.796987 t=96130
zhao 	照	c=2 d=0.00351752 t=96130
zhao 	趙	c=21 d=0.0536647 t=96130
zhao ba 	找吧	c=1 d=1 t=20128
zhao bu 	找補	c=2 d=1.00077 t=30997
zhao bu da 	找不打	c=1 d=1 t=21829
zhao bu dao 	找不到	c=4 d=1 t=80715
zhao chu 	找出	c=2 d=1 t=47414
zhao dao 	找到	c=24 d=0.151829 t=96130
zhao dao le 	找到了	c=1 d=7.9974e-19 t=96130
zhao hu 	招呼	c=2 d=1 t=62196
zhao hui 	召会	c=1 d=0.00609675 t=96130
zhao hui 	找回	c=1 d=1 t=58818
zhao hui lv 	召会率	c=8 d=0.0258551 t=96130
zhao ji 	着急	c=4 d=0.267135 t=96130
zhao jing zi 	照鏡子	c=2 d=1 t=66197
zhao ming 	照明	c=1 d=1 t=73806
zhao ni 	找你	c=3 d=0.136014 t=96130
zhao pian 	照片	c=25 d=5.93955e-11 t=96130
zhao pin 	招聘	c=3 d=1 t=91833
zhao sheng 	招生	c=1 d=2.73423e-10 t=96130
zhao wen 	趙文	c=4 d=5.1197e-07 t=96130
zhao wo 	找我	c=1 d=5.30477e-13 t=96130
zhao wu er 	照物兒	c=1 d=3.98858e-11 t=96130
zhao yi ge 	找一個	c=1 d=1 t=24508
zhao yi xia 	找一下	c=1 d=1 t=47749
zhao zhao 	找找	c=4 d=1.82491e-18 t=96130
zhao zhe 	照着	c=1 d=1 t=54706
zhe 	喆	c=2 d=1.00035 t=22836
zhe 	折	c=4 d=1.90204e-05 t=96130
zhe 	着	c=17 d=0.0808629 t=96130
zhe 	者	c=8 d=1 t=75273
zhe 	這	c=168 d=1.04869 t=96130
zhe ban 	折半	c=17 d=5.26358 t=88053
zhe ban cha zhao 	折半查找	c=1 d=1 t=82987
zhe ben 	這本	c=1 d=1 t=60643
zhe bian 	這邊	c=17 d=0.168638 t=96130
zhe bu fen 	這部分	c=2 d=0.00453922 t=96130
zhe ci 	這次	c=18 d=1.20404e-08 t=96130
zhe dai ma 	這代碼	c=1 d=1 t=62177
zhe dang 	遮擋	c=17 d=4.3221 t=42866
zhe dian 	這點	c=2 d=2.71311e-07 t=96130
zhe die 	摺疊	c=1 d=5.69038e-15 t=96130
zhe duan 	這段	c=109 d=0.100796 t=96130
zhe duan dai ma 	這段代碼	c=1 d=1.90236e-07 t=96130
zhe duan ha 	這段哈	c=2 d=9.26767e-18 t=96130
zhe duan hu 	這段胡	c=1 d=3.89342e-21 t=96130
zhe duan hua 	這段話	c=18 d=1.05116e-05 t=96130
zhe dui 	這對	c=1 d=1 t=46164
zhe fang mian 	這方面	c=1 d=1 t=96053
zhe fen 	這份	c=8 d=5.17027e-05 t=96130
zhe ge 	這個	c=267 d=1.4071 t=96130
zhe ge ci 	這個詞	c=1 d=1 t=35375
zhe ge fa er 	这个法儿	c=1 d=1 t=30714
zhe ge ne 	这个呢	c=1 d=1 t=36611
zhe hang 	這行	c=4 d=1.68724e-07 t=96130
zhe hui 	這會	c=2 d=1 t=53868
zhe ji 	這幾	c=1 d=1 t=50671
zhe ji ge 	這幾個	c=1 d=2.26033e-06 t=96130
zhe ji hua 	這計畫	c=1 d=2.15082e-10 t=96130
zhe jian 	這件	c=6 d=0.00019549 t=96130
zhe jian shi 	這件事	c=5 d=1.23729e-05 t=96130
zhe jiang 	浙江	c=1 d=1 t=78409
zhe jiu 	折舊	c=0 d=0.1 t=69518
zhe jiu 	這就	c=0 d=0.1 t=52014
zhe jiu e 	折舊額	c=1 d=1 t=69519
zhe jiu fei 	折舊費	c=1 d=1 t=69528
zhe jiu gen 	這就跟	c=1 d=1 t=84771
zhe jiu hao 	這就好	c=1 d=1 t=52015
zhe jiu shi 	這就是	c=11 d=1 t=83895
zhe ju 	這句	c=1 d=1 t=50239
zhe ju 	這局	c=3 d=0.00468877 t=96130
zhe ju a hu 	這局阿虎	c=1 d=1.50007e-06 t=96130
zhe ju ha 	這局哈	c=1 d=0.0471227 t=96130
zhe ju hua 	這句話	c=58 d=0.0473589 t=96130
zhe ke 	這可	c=1 d=1 t=96043
zhe kou 	折扣	c=1 d=1 t=68636
zhe kuan 	這款	c=1 d=1 t=94867
zhe li 	這裏	c=29 d=3.19211e-08 t=96130
zhe li shi 	這裏是	c=1 d=1 t=45479
zhe li yi wei 	這裏譯爲	c=29 d=1 t=63335
zhe liang 	這兩	c=0 d=6.72742e-15 t=96130
zhe liang duan 	這兩段	c=1 d=1 t=31401
zhe liang duan 	這兩端	c=1 d=1 t=30656
zhe liang duan hua 	這兩段話	c=1 d=6.76114e-14 t=96130
zhe liang ge 	這兩個	c=6 d=0.000383949 t=96130
zhe liang ju hua 	這兩句話	c=1 d=1.43455e-10 t=96130
zhe liang lei 	這兩類	c=1 d=1 t=72886
zhe liang nian 	這兩年	c=1 d=1 t=35545
zhe lu 	遮路	c=1 d=1 t=60889
zhe lun 	這輪	c=1 d=3.96047e-16 t=96130
zhe me 	這麼	c=35 d=0.748264 t=96130
zhe me duo 	這麼多	c=3 d=0.511709 t=96130
zhe me xiang 	这么响	c=1 d=1 t=37074
zhe men 	這門	c=2 d=1.0003 t=74407
zhe mian 	這面	c=1 d=1 t=44738
zhe mo 	折磨	c=1 d=1 t=31017
zhe nei rong 	這內容	c=1 d=1.56965e-10 t=96130
zhe pian 	這篇	c=20 d=0.16696 t=96130
zhe qun 	這羣	c=1 d=1 t=83603
zhe ren 	這人	c=1 d=6.33241e-08 t=96130
zhe san zhong 	这三种	c=1 d=5.07221e-15 t=96130
zhe shang mian 	這上面	c=2 d=0.108067 t=96130
zhe shi 	這事	c=1 d=1 t=32172
zhe shi 	這是	c=70 d=1.28158e-07 t=96130
zhe shi hou 	這時候	c=2 d=1 t=57767
zhe shou 	這首	c=1 d=1 t=55773
zhe shou ge 	這首歌	c=4 d=1 t=55779
zhe shuo ming 	這說明	c=1 d=1 t=94210
zhe suo 	這所	c=1 d=1 t=47652
zhe te 	這特	c=1 d=1 t=61130
zhe ti 	这题	c=13 d=0.00224287 t=96130
zhe tiao 	這條	c=3 d=3.85468e-21 t=96130
zhe wan yi 	這玩意	c=1 d=1 t=55653
zhe wei 	这为	c=1 d=1 t=95727
zhe xia 	這下	c=1 d=2.81894e-16 t=96130
zhe xian tu 	折线图	c=1 d=1 t=23526
zhe xiang 	這項	c=1 d=1 t=35759
zhe xie 	這些	c=55 d=0.779852 t=96130
zhe xie ren 	這些人	c=1 d=1 t=18901
zhe xue qi 	這學期	c=6 d=1 t=73421
zhe yan 	遮掩	c=1 d=1 t=77509
zhe yang 	這樣	c=93 d=0.790554 t=96130
zhe yang tu 	這樣圖	c=1 d=1 t=42351
zhe yang xie 	這樣寫	c=2 d=9.27968e-10 t=96130
zhe yang yong 	這樣用	c=1 d=1 t=62529
zhe yang zuo 	這樣做	c=1 d=1 t=35930
zhe yi 	這一	c=7 d=1.50861e-14 t=96130
zhe yi bian 	這一邊	c=1 d=0.0655462 t=96130
zhe yi bu 	這一步	c=4 d=0.00217658 t=96130
zhe yi bu fen 	這一部分	c=2 d=1 t=61089
zhe yi ci 	這一次	c=2 d=1 t=30059
zhe yi guan 	這一關	c=1 d=1 t=52241
zhe yi hang 	这一行	c=1 d=1 t=68118
zhe yi jie duan 	這一階段	c=1 d=1 t=20393
zhe yi ju hua 	這一句話	c=1 d=1 t=31410
zhe yi xiang 	这一项	c=1 d=1 t=83439
zhe you 	這又	c=1 d=1 t=46114
zhe zhang 	這張	c=7 d=1 t=95116
zhe zhang tu 	這張圖	c=1 d=1 t=42476
zhe zhi 	這隻	c=1 d=1 t=39965
zhe zhong 	這種	c=25 d=2.65629e-06 t=96130
zhe zhu 	遮住	c=1 d=1 t=71873
zhe zhu le 	遮住了	c=1 d=1 t=71897
zhe zu 	這組	c=2 d=0.0889216 t=96130
zhen 	幀	c=4 d=0.000225994 t=96130
zhen 	真	c=36 d=0.353646 t=96130
zhen 	針	c=1 d=1 t=79556
zhen cheng 	真誠	c=9 d=0.733447 t=96130
zhen duan shu 	診斷書	c=1 d=1 t=76610
zhen dui 	針對	c=7 d=0.142204 t=96130
zhen er 	震耳	c=1 d=1 t=45464
zhen hao 	真好	c=1 d=1 t=95572
zhen jia 	真假	c=1 d=1 t=55657
zhen li 	真理	c=5 d=2.90232e-06 t=96130
zhen mei 	真美	c=2 d=1.50158 t=34357
zhen shi 	真實	c=13 d=6.60902e-12 t=96130
zhen shi 	真是	c=1 d=1 t=53928
zhen shi zhi 	真實值	c=1 d=6.64215e-11 t=96130
zhen suo 	診所	c=1 d=1 t=74726
zhen xi 	珍惜	c=1 d=1 t=75080
zhen xing 	振興	c=1 d=1.31341e-21 t=96130
zhen zheng 	真正	c=2 d=2.79293e-14 t=96130
zhen zhi de 	真挚地	c=1 d=1 t=48470
zheng 	政	c=1 d=1 t=77949
zheng 	整	c=1 d=1 t=78209
zheng 	正	c=15 d=3.11488e-14 t=96130
zheng ban 	正版	c=1 d=1 t=28921
zheng ce 	政策	c=10 d=1.25158 t=92011
zheng ce hua 	政策化	c=1 d=1 t=81050
zheng cen ji 	正岑寂	c=1 d=1 t=73164
zheng chang 	正常	c=42 d=0.0261214 t=96130
zheng cheng 	征程	c=4 d=1.29897 t=46270
zheng dang 	正當	c=3 d=1 t=76643
zheng fan 	正反	c=1 d=1 t=62333
zheng fu 	政府	c=4 d=1 t=90007
zheng fu 	正負	c=1 d=1 t=55084
zheng ge 	整個	c=7 d=0.603506 t=96130
zheng ge guan 	整個管	c=1 d=1 t=93833
zheng gui yang ben 	正規樣本	c=0 d=1.76214e-19 t=96130
zheng gui yang ben ran you a ben 	正規樣本冉有阿本	c=1 d=1.77098e-18 t=96130
zheng hang 	整行	c=3 d=2.76886e-11 t=96130
zheng hao 	正好	c=1 d=1 t=42275
zheng he 	整合	c=6 d=0.856415 t=96130
zheng huo 	整活	c=1 d=1 t=81067
zheng ji 	徵集	c=1 d=1 t=21700
zheng jian 	證件	c=1 d=1 t=27154
zheng jian zhao 	证件照	c=2 d=1 t=84442
zheng jiao 	正交	c=4 d=3.32953 t=46925
zheng jiu 	拯救	c=1 d=1 t=83612
zheng jiu ai 	拯救愛	c=2 d=4.45237e-11 t=96130
zheng ju 	證據	c=3 d=7.35846e-10 t=96130
zheng ke 	政客	c=1 d=1 t=75006
zheng li 	整理	c=33 d=9.88671e-14 t=96130
zheng ming 	證明	c=10 d=1 t=94173
zheng ming li 	證明力	c=1 d=1 t=72229
zheng qu 	爭取	c=4 d=6.84677e-15 t=96130
zheng que 	正確	c=95 d=0.0478382 t=96130
zheng que xing 	正確性	c=1 d=1 t=21021
zheng shi 	正式	c=17 d=1.78452e-16 t=96130
zheng shi xie 	正式寫	c=1 d=1 t=34754
zheng shou 	徵收	c=1 d=1 t=75986
zheng shu 	整數	c=13 d=0.0645703 t=96130
zheng shu 	正數	c=1 d=1 t=54126
zheng shu 	證書	c=45 d=0.0011721 t=96130
zheng tai 	正太	c=3 d=1.77105 t=59911
zheng tai 	正態	c=1 d=1 t=53059
zheng ti 	整體	c=6 d=1.36788 t=87642
zheng tian 	整天	c=2 d=1 t=89823
zheng tong 	正統	c=1 d=1 t=34208
zheng wen 	徵文	c=1 d=1 t=59101
zheng wen 	正文	c=8 d=1 t=81529
zheng wu qiong 	正无穷	c=1 d=4.37625e-14 t=96130
zheng xia fang 	正下方	c=1 d=1 t=71839
zheng xiang 	正向	c=5 d=1.70822 t=84565
zheng xing 	整型	c=3 d=1.00639 t=28643
zheng yi 	爭議	c=2 d=1.00032 t=75307
zheng zai 	正在	c=22 d=1.47417e-07 t=96130
zheng zai xue 	正在学	c=1 d=1 t=87162
zheng ze 	正則	c=65 d=1 t=95929
zheng ze hua 	正則化	c=4 d=2.03144e-11 t=96130
zheng zha 	掙扎	c=1 d=1 t=32012
zheng zheng 	整整	c=1 d=1 t=20515
zheng zhi 	政治	c=18 d=0.371577 t=96130
zheng zhi 	正直	c=2 d=1.8781 t=74622
zheng zhi ju 	政治局	c=1 d=1 t=46033
zheng zhi shang 	政治上	c=1 d=1 t=31094
zheng zhuang 	症狀	c=3 d=1 t=87059
zhi 	之	c=19 d=0.0119145 t=96130
zhi 	值	c=135 d=0.02374 t=96130
zhi 	只	c=29 d=0.18452 t=96130
zhi 	志	c=3 d=1.91851 t=89967
zhi 	指	c=91 d=0.187317 t=96130
zhi 	支	c=1 d=0.1 t=45355
zhi 	旨	c=2 d=1.93243e-15 t=96130
zhi 	直	c=4 d=1.69541e-05 t=96130
zhi 	置	c=2 d=2.81023e-09 t=96130
zhi 	至	c=3 d=5.6173e-10 t=96130
zhi 	致	c=4 d=1.46553e-09 t=96130
zhi a 	治啊	c=1 d=0.064894 t=96130
zhi a li 	值阿里	c=1 d=1 t=57407
zhi an 	治安	c=1 d=1 t=74198
zhi bao liu 	只保留	c=1 d=1 t=72055
zhi biao 	制表	c=1 d=1.51643e-16 t=96130
zhi biao 	指標	c=11 d=0.460704 t=96130
zhi bing 	致病	c=1 d=1 t=63032
zhi bo 	直播	c=1 d=1 t=77462
zhi bu 	支部	c=14 d=1.07506 t=30731
zhi bu guo 	只不過	c=3 d=1.86502 t=61605
zhi cheng 	之城	c=1 d=1 t=90963
zhi cheng 	支撐	c=6 d=1 t=78221
zhi chi 	支持	c=22 d=1.96063e-09 t=96130
zhi chu 	之初	c=1 d=1 t=59319
zhi chu 	之處	c=1 d=1 t=73349
zhi chu 	指出	c=2 d=1 t=77945
zhi chu lai 	指出来	c=1 d=1 t=42827
zhi cuo 	知錯	c=1 d=1.02441e-19 t=96130
zhi dai 	指代	c=3 d=1.33478 t=44495
zhi dao 	指導	c=11 d=1.17464 t=79287
zhi dao 	直到	c=8 d=6.1621e-08 t=96130
zhi dao 	知道	c=50 d=0.581138 t=96130
zhi dao lao shi 	指導老師	c=1 d=4.49941e-17 t=96130
zhi dao si xiang 	指導思想	c=1 d=0.755784 t=96130
zhi de 	值得	c=2 d=1.00004 t=74812
zhi ding 	制定	c=1 d=1 t=77948
zhi ding 	指定	c=36 d=0.839457 t=96130
zhi du 	制度	c=3 d=1 t=77960
zhi dui 	只對	c=2 d=1 t=83167
zhi duo 	至多	c=3 d=1.15236 t=87175
zhi fang 	脂肪	c=1 d=1 t=44393
zhi fang tu 	直方圖	c=19 d=3.7522e-08 t=96130
zhi fang tu ma 	直方圖嗎	c=1 d=1.02107e-10 t=96130
zhi fu 	支付	c=4 d=0.277572 t=96130
zhi fu bao 	支付寶	c=2 d=1 t=80285
zhi guan 	直觀	c=3 d=1 t=85257
zhi guo 	治國	c=4 d=1 t=78183
zhi hao 	之豪	c=1 d=0.140156 t=96130
zhi he 	之和	c=4 d=1 t=86411
zhi hou 	之後	c=36 d=0.609748 t=96130
zhi hu 	知乎	c=32 d=1.96079 t=96130
zhi hui 	只會	c=9 d=0.000572785 t=96130
zhi hui 	智慧	c=3 d=1 t=82700
zhi hui 	稚暉	c=1 d=0.10013 t=82694
zhi hui jun 	稚暉君	c=1 d=1 t=82695
zhi jia 	支架	c=3 d=5.3521e-15 t=96130
zhi jian 	之間	c=28 d=0.786628 t=96130
zhi jian 	執劍	c=2 d=1.48432 t=47831
zhi jiao 	直角	c=1 d=1 t=24582
zhi jiao 	職教	c=143 d=0.0194492 t=96130
zhi jiao ao 	職教奧	c=1 d=1 t=76354
zhi jiao yun 	職教雲	c=3 d=1.19593 t=81185
zhi jie 	直接	c=69 d=0.637628 t=96130
zhi jin 	至今	c=3 d=1 t=94897
zhi jue 	直觉	c=2 d=1 t=85673
zhi jue 	知觉	c=1 d=1 t=92363
zhi kan 	只看	c=1 d=1 t=55650
zhi ku 	智庫	c=1 d=1 t=19550
zhi li 	治理	c=2 d=1 t=77990
zhi liang 	質量	c=4 d=1 t=82483
zhi liao 	治療	c=4 d=1.28854 t=45777
zhi ling 	指令	c=4 d=0.00329615 t=96130
zhi lv 	之旅	c=1 d=1 t=25134
zhi meng 	之夢	c=1 d=1 t=37129
zhi mian 	直面	c=2 d=1 t=80244
zhi neng 	只能	c=45 d=0.151072 t=96130
zhi neng 	智能	c=208 d=5.16282 t=96130
zhi neng gou 	只能夠	c=2 d=1 t=70989
zhi neng kong 	只能恐	c=0 d=0.1 t=30665
zhi neng kong mi ka li 	只能恐米卡里	c=1 d=1 t=30666
zhi ou dui na ge 	指偶对哪個	c=1 d=1 t=92794
zhi pai wu 	紙牌屋	c=2 d=1.9802 t=91292
zhi pei quan 	支配權	c=1 d=1 t=84722
zhi qian 	之前	c=28 d=0.0101316 t=96130
zhi shao 	至少	c=15 d=0.677057 t=96130
zhi she 	指涉	c=1 d=1 t=50044
zhi shi 	只是	c=25 d=1.96436e-08 t=96130
zhi shi 	知識	c=54 d=0.190025 t=96130
zhi shi ci 	指示词	c=1 d=1 t=74145
zhi shi deng 	指示燈	c=4 d=2.30611 t=42147
zhi shi ku 	知識庫	c=1 d=1 t=22944
zhi shi pai 	指示牌	c=3 d=1.14166 t=42747
zhi shi shuo 	只是说	c=1 d=6.30834e-22 t=96130
zhi shou 	只受	c=1 d=1 t=60448
zhi shu 	指數	c=3 d=1.96079 t=72075
zhi shu 	質數	c=2 d=6.48147e-17 t=96130
zhi shui 	只睡	c=1 d=1.52274e-06 t=96130
zhi shuo 	只說	c=1 d=1 t=91011
zhi shuo 	直說	c=2 d=0.97531 t=96130
zhi suo yi 	之所以	c=10 d=0.000308127 t=96130
zhi wai 	之外	c=1 d=1 t=43027
zhi wang 	知網	c=19 d=1 t=81106
zhi wei 	置爲	c=1 d=1 t=84292
zhi wei 	職位	c=2 d=1 t=43049
zhi wen 	質問	c=1 d=2.20715e-20 t=96130
zhi xia 	之下	c=1 d=1 t=78380
zhi xian 	直線	c=4 d=9.66592e-13 t=96130
zhi xiang 	只想	c=1 d=1 t=42174
zhi xiang 	指向	c=19 d=1.58534e-07 t=96130
zhi xin 	之心	c=1 d=1 t=57877
zhi xin du 	置信度	c=2 d=0.14808 t=96130
zhi xin qu jian 	置信區間	c=2 d=1.99501 t=65816
zhi xing 	執行	c=37 d=0.0117962 t=96130
zhi xing wan 	執行完	c=1 d=1 t=26095
zhi xu 	秩序	c=2 d=1 t=85403
zhi xu yao 	只需要	c=7 d=4.50799e-10 t=96130
zhi yao 	只要	c=9 d=1 t=92091
zhi ye 	知也	c=2 d=1.14057e-18 t=96130
zhi ye 	職業	c=36 d=0.00142435 t=96130
zhi ye ji shu 	职业技术	c=0 d=3.0775e-20 t=96130
zhi ye ji shu da xue 	职业技术大學	c=1 d=3.09292e-19 t=96130
zhi yi 	之一	c=3 d=3.34017e-12 t=96130
zhi yi 	智一	c=1 d=3.32351e-12 t=96130
zhi yi 	質疑	c=1 d=1 t=25715
zhi yo 	值喲	c=1 d=1 t=52130
zhi yong lai 	只用来	c=1 d=9.37706e-09 t=96130
zhi you 	只有	c=88 d=0.026787 t=96130
zhi yu 	值域	c=5 d=1.58926e-09 t=96130
zhi yu 	至於	c=2 d=7.61797e-06 t=96130
zhi yu 	致於	c=1 d=3.60093e-14 t=96130
zhi yu a 	值域啊	c=1 d=2.86798e-13 t=96130
zhi yu bu 	值羽步	c=1 d=1.11723e-10 t=96130
zhi yuan 	志願	c=29 d=0.000599149 t=96130
zhi yuan fu wu 	志願服務	c=2 d=1 t=34652
zhi yuan zhe 	志願者	c=4 d=1.00147 t=39071
zhi yun xu 	只允許	c=1 d=1 t=43505
zhi zai 	只在	c=4 d=1 t=83419
zhi zao 	製造	c=7 d=1.12535 t=92606
zhi zao ye 	製造業	c=1 d=1 t=46048
zhi ze 	職責	c=3 d=1 t=49596
zhi zhen 	指針	c=16 d=4.51e-13 t=96130
zhi zhen yu 	指針域	c=2 d=1.89137 t=80145
zhi zheng 	執政	c=1 d=1 t=64204
zhi zhong 	之中	c=1 d=1 t=75309
zhi zi 	侄子	c=1 d=4.38683e-13 t=96130
zhi zuo 	只做	c=1 d=1 t=42534
zhi zuo 	製作	c=7 d=2.1287e-06 t=96130
zhong 	中	c=897 d=1.35284 t=96130
zhong 	種	c=21 d=0.254264 t=96130
zhong 	重	c=5 d=8.93931e-09 t=96130
zhong 	鍾	c=2 d=1 t=96124
zhong da 	重大	c=5 d=9.9569e-09 t=96130
zhong dian 	重點	c=15 d=1.64162e-08 t=96130
zhong du 	重度	c=1 d=1 t=75118
zhong duan 	中斷	c=3 d=6.97293e-16 t=96130
zhong duan 	終端	c=39 d=0.0189697 t=96130
zhong fan 	中飯	c=1 d=1 t=24266
zhong gong 	中共	c=1 d=1 t=29483
zhong guo 	中國	c=42 d=2.01e-07 t=96130
zhong guo ren 	中國人	c=2 d=1.97531 t=34196
zhong guo te se she hui zhu yi 	中國特色社會主義	c=2 d=1.49257 t=64262
zhong he 	中和	c=2 d=1.90032 t=91387
zhong hua 	中華	c=1 d=1 t=19952
zhong ji 	中極	c=1 d=1 t=71230
zhong jian 	中檢	c=1 d=2.61436e-12 t=96130
zhong jian 	中間	c=12 d=1.47036e-06 t=96130
zhong jian shen jing 	中間神經	c=1 d=1 t=27029
zhong jiang 	中將	c=2 d=1.96079 t=80493
zhong jie 	終結	c=1 d=4.02032e-16 t=96130
zhong jie ru 	中接入	c=1 d=1 t=90330
zhong lei 	種類	c=1 d=1 t=69298
zhong liang 	重量	c=3 d=1.99501 t=80916
zhong nong 	中農	c=1 d=1 t=19213
zhong ou 	重毆	c=0 d=0.1 t=44091
zhong ou na ge 	重毆哪個	c=1 d=1 t=44092
zhong qi 	中期	c=5 d=1.00007 t=92549
zhong shan men 	中山門	c=1 d=1 t=43326
zhong shen 	終身	c=2 d=1.9802 t=24954
zhong shi 	重視	c=3 d=1 t=84611
zhong te 	中特	c=3 d=0.0246597 t=96130
zhong tian men 	中天門	c=1 d=1 t=36802
zhong tu 	中途	c=2 d=8.94282e-10 t=96130
zhong wen 	中文	c=121 d=0.596357 t=96130
zhong wu 	中午	c=21 d=0.66365 t=96130
zhong xin 	中心	c=10 d=9.02323e-07 t=96130
zhong xin dian 	中心點	c=1 d=3.3656e-13 t=96130
zhong xin zhi 	中心質	c=1 d=1 t=88135
zhong xue sheng 	中學生	c=1 d=3.91227e-19 t=96130
zhong xun 	中旬	c=2 d=1.90937 t=78997
zhong yang 	中央	c=3 d=1 t=78226
